Dies ist synthetischer Datensatz für Unterrichtszwecke. Er ist Teil einer Open Educational Resource (OER) und enthält aus rechtlichen Gründen keine personenbezogenen Daten. Weitere Informationen und den Zugang zur OER finden sie auf folgender Website: https://quadriga-dk.github.io/Bewegtes-Bild-Fallstudie-2/
Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Column_8	Verlag	Jahr	Originalmedium	Länge	Schlagwort	Stichwort	Bib._Nummer
Schatten im Archiv	Chen Yong	Regie		Potsdam			1987	16mm	66m	Dokumentarfilm ; Arbeit	Parklandschaft	DE-Po75
Besuch bei der Tante in Plauen	Renate Eichel	Animation		Berlin			1995/96	16mm	12m	Dokumentarfilm		DE-Po75
Lagerfläche 12 überfüllt	Tran Minh	Regie		Potsdam		Kollektiv Bild &Ton "Potsdam"	1992	DVD				DE-Po75
Die Melodie des ungesagten Abschieds	Ingeburg Lütke	Regie		Potsdam		Produktionskollektiv Brandenburg/Havel ; Atelier fuer Dokumentarfilm BABELSBERG	1992	16mm	265m	Animationsfilm	Vietnam	DE-Po75
Die Straßen waren leer, als der Strom fiel	Jana Illner			Potsdam			1998	S-16mm	369m	Spielfilm		DE-Po75
Eine Nacht im Pionierlager	Amir Karim	Regie	Vordiplomfilm	Potsdam		Atelier für Dokumentarfilm Babelsberg ; Atelier für Dokumentar-Film Babelsberg	1995	16mm	339m	Spielfilm ; Satire		DE-Po75
Inmitten der Stunde	Monika-Erika Hahn	Regie		Potsdam		Filmgruppe Berlin-Mitte	[1988]	U-matic		Dokumentarfilm ; Kinder		DE-Po75
Ein Schritt langsamer als nötig				Potsdam			1998	16mm		Spielfilm ; Animationsfilm		DE-Po75
Wo das Gestern zum Heute wird	Yasmin Ziegler	Kameraübung	Diplomfilm	Potsdam			1987			Dokumentarfilm ; Arbeit ; Porträtfilm	Betriebe in der DDR . nach 1945	DE-Po75
Nacharbeit erforderlich	Albrecht Becker	Regie	Animation	Potsdam			1996/97	16mm	130m	Dokumentarfilm ; Animationsfilm		DE-Po75
Die Melodie eines unvergesslichen Versprechens	Hannah Mayer	Kameraübung		Potsdam			1988			Videoclip		DE-Po75
Verwischen		Regie		Potsdam		Produktionskollektiv Brandenburg/Havel ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1987/88	16mm	674m			DE-Po75
Wo die Grenze unsichtbar war	Yasmin Ziegler	Kamera		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Filmstudio Babelsberg Ost	1991	U-matic				DE-Po75
<<Ein>> Wintermärchen aus Eisen	Istvan Papp	Regie		Potsdam			1997	16mm	200m	Dokumentarfilm	Blinde . Linien von Nazca	DE-Po75
Ein Tag zwischen den Welten – Potsdam	Heidemarie Karge	Regie		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1985	35mm	110m	Dokumentarfilm		DE-Po75
Wir warteten auf etwas Kurzes	Marlies Nitzsche	Kamera		Potsdam			1992/93	16mm		Adaption	Studioinszenierung . Malayo-Polinesisch	DE-Po75
Der Fehler im System				Potsdam			1990	35mm	204m	Spielfilm	Arbeiter DDR ; Mauerfall ; Mauerfall	DE-Po75
„In der Kürze liegt die Würze“ – Karl‑Marx‑Stadt	Jochen Schade	Animation		Potsdam			1997	Betacam SP		Dokumentarfilm ; Frauen	Peru	DE-Po75
<<Die>> Tür der Träume	Martin Herrmann		Kameraübung	Potsdam		Filmgruppe Berlin-Mitte	1988	16mm	926m	Spielfilm ; Musik		DE-Po75
Der Ton blieb stehen	Erhard Moser	Regie	Diplomfilm	Potsdam			1997	16mm	106m			DE-Po75
Entscheidung vertagt	Gisela Bauer			Potsdam			1985	16mm	75m	Filmmontage ; Kinder		DE-Po75
Die Lücke im Klassenbild	Justus Lüdke	Regie	F3	Potsdam			1993	16mm	37m	Dokumentarfilm ; Episodenfilm ; Slapstick		DE-Po75
Eintrag unvollständig	Bertram Cremer	Regie		Potsdam			1998	Betacam SP				DE-Po75
Knopf defekt	Ulrike-Valerie Wagner	Regie		Potsdam		Atelier für Dokumentarfilm Babelsberg	1996	16mm	158m	Dokumentarfilm		DE-Po75
Am Puls der Großstadt – Leipzig				Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1988	35mm	261m	Porträtfilm ; Spielfilm ; Frauen		DE-Po75
Der Blick zur Uhr – 17:58	Otmar Rösler	Regie	Montageübung	Potsdam			1995/96	35mm	87m	Spielfilm ; Antifaschismus		DE-Po75
Ascheflug	Xenia Schade	Regie	Lichtübung	Potsdam			1995	35mm	168m	Adaption		DE-Po75
Protokoll übergeben – ohne Anhang				Potsdam		Produktionskollektiv Brandenburg/Havel	1993	16mm	295m			DE-Po75
Mein Bruder und das Regal	Tran Duc Huy	Regie	Diplomfilm	Potsdam		Film gruppe Berlin-Mitte ; Atelier für Dokumentarfilm Babelsberg	1992/93	16mm	102m	Dokumentarfilm	Studioinszenierung ; Medizin ; ohne Worte	DE-Po75
Das Dorf, das Nein sagte	Yusuf Omar	Kamera		Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1988	U-matic		Dokumentarfilm		DE-Po75
Sammelmappe "Oktober 1989"		Regie	Hauptprüfungsfilm	Potsdam		Kollektiv Bild und Ton Potsdam	1990	U-matic		Spielfilm		DE-Po75
Raumnummer unklar	Simone Weber	Regie	F3	Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1985	16mm	90m	Dokumentarfilm ; Kinder ; Adaption ; Arbeit		DE-Po75
<<Die>> Stimme des Regens	Veit Weidner	Kameraübung		Potsdam		Filmstudio Babelsberg Ost	1988	16mm		Dokumentarfilm ; Landbevölkerung		DE-Po75
Ein letzter Blick ins Dunkel			Übung				1990	16mm	1388m			DE-Po75
<<Ein>> Koffer voller Sterne	Marika Oertel	Kamera		Potsdam		Kollektiv Bild & Ton Potsdam	1987	VHS				DE-Po75
<<Der>> Fluss der Zeit		Regie		Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1992	16mm	100m	Dokumentarfilm ; Kamera		DE-Po75
<<Der>> Garten der verbotenen Früchte		Regie		Potsdam		Filmgruppe Berlin-Mitte	1987					DE-Po75
Unter dem Dom in Dresden	Renate Kühnel	Regie	Lichtübung	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1999	35mm		Trailer ; Frauen		DE-Po75
Mein Name im Inventar	Volker Döhler		Filmübung	London		Kollektiv Bild & Ton Potsdam	1995	Betacam SP			Objektkunst . Potsdam . Mauerfall . Potsdam . no dialogue	DE-Po75
Im Herzen des Winters	Phan Quoc Viet	Regie		Potsdam			1986	16mm	480m	Dokumentarfilm ; Unterhaltung ; Märchenfilm		DE-Po75
Tinte im Nebel	Jürgen Becker	Regie		Potsdam			1996	16mm				DE-Po75
Mein Stuhl war falsch nummeriert	Heike Abendroth	Regie		Potsdam		Filmgruppe "Berlin-Mitte"	1998	35mm	192m			DE-Po75
Montag nach der Parade		Regie	Abschlußfilm	Potsdam			1995/96	Betacam SP		Spielfilm	Vietnam	DE-Po75
Die Erinnerung auf Zehenspitzen	Chantal-Stefanie Krause	Regie	F2	Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1999	16mm	257m			DE-Po75
Treppe rutschig – Achtung Wende		Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1985	16mm	84m			DE-Po75
<<Der>> letzte Tanz im Wartesaal		Regie		Potsdam			1987	35mm		Dokumentarfilm ; Arbeit	Nachkriegszeit ; Kultureinrichtungen ; Park Sanssouci	DE-Po75
Die Mauer stand im Kopf	Martin Herrmann		Kameraübung	Potsdam		Atelier für Dokumentarfilm Babelsberg ; Atelier für Dokumentar-Film Babelsberg	[1988]	16mm	114m	"Hochschule für Film und Fernsehen der DDR ""Konrad Wolf"""		DE-Po75
Zwei Geräusche, aber keine Richtung				Potsdam		Kollektiv Bild und Ton Potsdam	1987	16mm	92m	Dokumentarfilm ; Liebe		DE-Po75
Als Müntzer schwieg	Yusuf Omar	Regie		Potsdam		Filmgruppe "Berlin-Mitte"	1988					DE-Po75
<<Der>> Kristall der Ewigkeit	Katharina Becker	Regie		Potsdam			1998	16mm	260m			DE-Po75
Ich fand das Licht zu früh	Sabine-Marie Vogel	Regie	Kameraübung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Atelier für Dokumentar-Film Babelsberg	1992	S-VHS		Spielfilm		DE-Po75
Niemand sagte, dass es verboten war	Siegfried Abicht	Regie	Diplomfilm	Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Atelier für Dokumentar-Film Babelsberg	1995	16mm		Spielfilm	Objektanimation . ohne Worte . ohne Sprache . ohne Dialog . no dialogue	DE-Po75
Während der Wind in Dornen singt	Nadja-Elke Quandt	Buch		Potsdam			1995/96	Betacam SP		Dokumentarfilm ; Arbeit		DE-Po75
Leerer Rand in deinem Heft	Kai Oehme	Regie	F1	Potsdam			1997	16mm	270m			DE-Po75
Wenn das Gestern dem Heute weicht		Regie	Kameraübung	Potsdam		Kollektiv Bild und Ton Potsdam	[1987]	35mm	170m	Dokumentarfilm ; Tanz		DE-Po75
Mein letzter Blick nach Osten	Oskar Obermann	Regie	Animationsübung	Potsdam			1997/98	35mm	2000m	Dokumentarfilm ; Zeichentrickfilm		DE-Po75
<<Die>> Ernte kam zu spät	Clemens Eggert	Kamera	Kameraübung	Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder ; Kollektiv Bild &Ton "Potsdam"	1992	35mm	58m	Dokumentarfilm ; Adaption		DE-Po75
Zwischen Ähren				Potsdam			1994	16mm	251m		HFF DDR . Mauer . Grabungsstätte . Archäologie . Potsdam	DE-Po75
Die Stühle standen zu nah	Yvonne Zink	Gestaltung		Potsdam		Kollektiv Bild und Ton Potsdam ; Kollektiv Bild &Ton "Potsdam"	1989/90	16mm	882m			DE-Po75
Ein leiser Abschied im Rauschen der Zeit	Eva Nagy			Potsdam		Atelier für Dokumentarfilm Babelsberg ; Lichtbild-Arbeitsgemeinschaft griebnitzsee	1989	16mm				DE-Po75
Staub auf den Flügeln der Libellen	Torsten Förster	Animation		Potsdam			1999	35mm	279m	Dokumentarfilm		DE-Po75
Sturm der Träume	Dietmar Rupprecht	Regie		Potsdam			1998	16mm	886m			DE-Po75
Es gab kein danach	Hung Pham	Regie		Potsdam			1993	Betacam SP		Spielfilm ; Horror ; Porträtfilm		DE-Po75
Die Worte fielen unter den Tisch	Jörg Schneider	Regie		Potsdam			1990	Betacam SP				DE-Po75
Zwischen Freude und Trauer – Dresden	Uta Vollrath	Regie		Potsdam		Kollektiv Bild & Ton Potsdam	1994	16mm	536m			DE-Po75
Die Schule, die verschwieg		Regie		Potsdam		Film gruppe Berlin-Mitte ; Filmstudio Babelsberg Ost	1992	U-matic				DE-Po75
Der Abstand im Klang	Liane Nolte			Potsdam	Monografie		1999					DE-Po75
Die Poesie des flüchtigen Jetzt	Katarzyna Kaczmarek	Regie		Potsdam		Filmstudio Babelsberg Ost ; Kollektiv Bild & Ton Potsdam	1993	Betacam SP		Spielfilm		DE-Po75
Die leisen Worte des Abschieds – Erfurt	Wilfried Falkenberg	Regie	Lichtübung	Potsdam				35mm		Spielfilm		DE-Po75
Die Stunde ohne Strom		Kamera	Hauptprüfungsfilm				1990	16mm	667m	Dokumentarfilm		DE-Po75
Asche und Licht	Sandy-Roswitha Binder	Regie	F1	Potsdam			1995	35mm	42m			DE-Po75
Betreten verboten – außer für Reinigung	Ruth Schmidt		Diplomfilm	Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	[1988]	16mm	330m	Dokumentarfilm		DE-Po75
Flucht in die Dunkelheit – 1996 (Rostock)	Danny Weber	Buch		Potsdam			1988	16mm	80m		Betriebe in der DDR ; Lausitz	DE-Po75
<<Ein>> Hauch von Unendlichkeit	Renate Eichel	Regie		Potsdam		Kollektiv Bild & Ton Potsdam	1993	S-VHS		Dokumentarfilm ; Ausländer		DE-Po75
An das Haus davor	Nadine Schürer	Regie		Potsdam			1995	35mm	249m	Animationsfilm		DE-Po75
Vorsicht bei Linie 7	Marco-Erich Kroll	Regie	Diplomfilm	Potsdam			1994	35mm	427m	Dokumentarfilm		DE-Po75
Ich verstand die Frage nicht	Layla El-Habib	Regie	Diplomfilm	Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1997	35mm	170m			DE-Po75
Der Rhythmus der vergessenen Morsezeichen	Fatima Ali	Regie		Potsdam		Filmgruppe Berlin-Mitte	1990	U-matic		Dokumentarfilm	Musikvideo ; Mauerfall	DE-Po75
Der letzte Brief aus Zeitz	Yusuf Hassan	Regie		Potsdam			1988			Dokumentation ; Essayfilm	LPG	DE-Po75
Ein Blick, der alles sagt – Berlin		Regie	F2	Potsdam			[1997]	16mm	480m	Dokumentarfilm		DE-Po75
<<Der>> Turm der schweigenden Glocken	Bastian Böhmer	Kamera		Potsdam			1988/89	16mm				DE-Po75
Der Pförtner sah mich nicht an				Potsdam			1996/97	16mm	1969m	Spielfilm		DE-Po75
Lackierung ungleichmäßig				Potsdam			1998	35mm	714m	Behinderung ; Satire		DE-Po75
Wenn alles innen war	Jürgen Uhlig	Regie		Potsdam		Film gruppe Berlin-Mitte ; Filmgruppe "Berlin-Mitte"	1990	U-matic		Spielfilm		DE-Po75
<<Ein>> Jahr ohne Vokale				Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1989	16mm	351m	Talkshow	Komische Oper Berlin . 7 . Oktober 1989 . Wende . 40 Jahre DDR . Regionales	DE-Po75
Jenseits der Pfeiler	Jutta Illig	Regie		Potsdam			1999	35mm	18m	Dokumentarfilm		DE-Po75
Keine Rückfrage	Traute Hoffmann	Regie	Kameraübung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Kollektiv Bild &Ton "Potsdam"	1991	16mm	125m			DE-Po75
Das Licht kam von links	Tariq Abbas	Regie	Lichtübung	Potsdam			1999	Betacam SP		Trailer ; Spielfilm		DE-Po75
Ich saß falsch herum		Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1987	Betacam SP			HFF / DRA ; Metropol-Theater Berlin	DE-Po75
Zwischen LPG und Lettern		Regie	Diplomfilm	Potsdam		Atelier für Dokumentarfilm Babelsberg	1994	35mm	171m			DE-Po75
Stasi war auch ein Beruf	Istvan Papp	Regie		Potsdam			1997	35mm	195m	Dokumentarfilm	Flüchtlinge	DE-Po75
<<Die>> Brücke der Erinnerung		Regie		Potsdam		Filmgruppe "Berlin-Mitte" ; Atelier für Dokumentarfilm Babelsberg	1990	VHS				DE-Po75
Spind 23 – leer	Danny Weber	Kamera		Potsdam		Filmgruppe "Berlin-Mitte" ; Lichtbild-Arbeitsgemeinschaft griebnitzsee	1987	16mm	617m			DE-Po75
<<Die>> Spur des Falken	Norbert Lehmann			Potsdam			1994	Betacam SP		Dokumentarfilm ; Märchenfilm ; Science-Fiction-Film		DE-Po75
<<Der>> Wind kam aus Bitterfeld		Kamera		Potsdam			1986	16mm	180m	Dokumentarfilm ; Bildende Kunst		DE-Po75
Der Schritt passte nicht zur Richtung	Olga Jürgens	Kameraübung		Potsdam			1987	16mm	680m			DE-Po75
Der Satz blieb unvollständig	Olga Grosse	Regie	Lichtübung	Potsdam			[1997]	35mm	397m	Spielfilm ; Ehe		DE-Po75
Mein Name war nicht im System	Volkmar-Xaver Weidner	Regie		Potsdam			1996	16mm	125m			DE-Po75
Stille auf Kanal 2	Jürgen Althoff	Regie		Potsdam			1989	35mm	570m	Animationsfilm ; Adaption		DE-Po75
Schlüssel zum Himmelreich	Fatima Ali	Kameraübung		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1988	16mm	121m	Talkshow	Judenverfolgung	DE-Po75
Zwischen Kollektiv und Küche	Annelie Groll			Potsdam			1999	35mm	58m			DE-Po75
Dein Lächeln war nicht sicher		Regie	Diplomfilm	Potsdam			1994/95	35mm				DE-Po75
<<Ein>> Schatten im Nebel	Fatima Ali	Regie		Potsdam			1987	16mm				DE-Po75
<<Dem>> Schimmer nach	Oskar Rothe	Regie	Kameraübung	Potsdam			1989	16mm	60m			DE-Po75
Die Wahrheit unter der Haut	Traudel Risse	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1997	Betacam SP		Dokumentation ; Kuba ; Märchenfilm	Horrorfilm ; ohne Worte ; Weltkulturerbe ; Maria Reiche ; no dialgue	DE-Po75
Die Wand war nie Teil des Plans	Yusef Khalid	Idee	Filmübung	Potsdam			1999	VHS		Animationsfilm ; Frauen		DE-Po75
Batterien nicht enthalten			Lichtübung	Potsdam			1992	35mm	128m			DE-Po75
Rausch	Sylke Ehrhardt	Kamera		Potsdam			1986	16mm	227m			DE-Po75
Hinter Glas	Zdenek Wagner			Potsdam		Atelier für Dokumentar-Film Babelsberg	1995/96	35mm	938m			DE-Po75
Mein erstes Westgeschenk	Tariq Abbas	Regie	Lichtübung	Potsdam		Filmstudio Babelsberg Ost	1994	Betacam SP		Dokumentarfilm		DE-Po75
<<Das>> Bild an der Wand fehlte		Regie		Potsdam			1990	16mm	156m	"Hochschule für Film und Fernsehen der DDR ""Konrad Wolf"""		DE-Po75
Stille am Tag der Republik	Ida Wagner	Regie		Potsdam		Audiovisuelle Werkstatt Frankfurt Oder ; Atelier fuer Dokumentarfilm BABELSBERG	[ca. 1992]	16mm	89m	Dokumentarfilm ; Bühneninszenierung		DE-Po75
Zwischen Grau und Farbe – Berlin	Xenia Schollmeyer		Lichtübung	Potsdam			1998			Spielfilm		DE-Po75
Ich verwechselte die Schuhe	Egon Franke	Regie		Potsdam		"AudioVisuelle Werkstatt" Frankfurt/Oder	1999	VHS		Dokumentarfilm		DE-Po75
Die Zeitkarte war verschwunden		Regie	Lichtübung	Potsdam			1993	S-VHS		Adaption ; Interviewfilm		DE-Po75
Werkstatt geschlossen ab Freitag	Nadja-Elke Quandt	Regie		Potsdam		Filmgruppe Berlin-Mitte ; Produktionskollektiv Brandenburg/Havel	1985	35mm	90m	Dokumentarfilm ; Adaption ; Porträtfilm ; Frauen	Pausenfilm . Tagebau . Plätze	DE-Po75
Eintrag zensiert		Regie	Kameraübung			Kollektiv Bild und Ton Potsdam	1988	16mm	39m			DE-Po75
Regenschirm unauffindbar	Lorenz Fischer			Potsdam		Film gruppe Berlin-Mitte	1998	35mm	21m	Dokumentarfilm		DE-Po75
Im Falz des Himmels	Anna-Bärbel Ahlers	Kamera		Potsdam		Filmgruppe Berlin-Mitte ; Atelier für Dokumentar-Film Babelsberg	1989					DE-Po75
<<Das>> Fenster zum Horizont	Siegbert Vollmer		F2	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1994	Betacam SP				DE-Po75
Vorgang abgeschlossen	Sven Nolting	Kamera	Abschlußfilm	Potsdam			[1989]	16mm	386m			DE-Po75
<<Die>> Melodie der Pausen	Sven Nolting			Potsdam		Atelier für Dokumentarfilm Babelsberg	1992/93	S-VHS				DE-Po75
Reihenfolge beliebig	Roswita Schimmel	Kamera		Potsdam		Atelier für Dokumentar-Film Babelsberg ; lichtbild Arbeits gemeinschaft Griebnitzsee	1999	Betacam SP		Dokumentarfilm		DE-Po75
Zwischen den Schichten der Erinnerung	Sabrina-Karola Schenke		F3	Potsdam			1996/97	16mm	381m	Spielfilm		DE-Po75
Eine Bewegung ohne Grund	Xenia Ihlenfeld	Regie		Potsdam			1997	16mm	172m	Spielfilm ; Ausländer ; Frauen ; Musik	Psychische Erkankungen ; Jugendkriminalität	DE-Po75
<<Die>> Klingel ging auf Zeit		Regie		Potsdam		Kollektiv Bild und Ton Potsdam	1988	U-matic		Dokumentarfilm ; Landbevölkerung	Potsdam . ohne Worte . Punks DDR	DE-Po75
Mein erster Winter im Wohnheim 8	Joachim Finkbeiner	Regie		Potsdam			1998	16mm	35m	Spielfilm		DE-Po75
Traumpfade in der Altstadt – Weimar	Amir Al-Karim	Regie	Kameraübung	Potsdam		lichtbild Arbeits gemeinschaft Griebnitzsee	1995	16mm	437m	Dokumentarfilm		DE-Po75
Silberne Träume	Uta Vollrath		Filmübung	Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee	1994	16mm	72m	Spielfilm ; Adaption		DE-Po75
Wende im Kalender markiert	Christian Eberspächer			Potsdam			1990	35mm	278m	Spielfilm		DE-Po75
Spaltfläche	Gisela Bauer			Potsdam			1986/87	16mm	342m	Spielfilm		DE-Po75
<<Ein>> Licht im Dunkeln	Petra-Renate Rupprecht	Regie		Potsdam			[1988]	16mm	40m		Musikclip . Oper	DE-Po75
Der Ruf der Freiheit – 2004 (Halle)	Volker Döhler			Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; "AudioVisuelle Werkstatt" Frankfurt/Oder	1993	16mm	257m	Essayfilm ; Computeranimation		DE-Po75
Die Sprache der Stille – Weimar				Potsdam			1994	16mm	114m	Spielfilm		DE-Po75
Wo das Jetzt den Traum küsst	Xenia Möller	Regie	Kameraübung	Potsdam		Filmgruppe "Berlin-Mitte" ; Atelier fuer Dokumentarfilm BABELSBERG	1989					DE-Po75
Ich mochte dein Schriftbild	Katharina Becker	Regie	F3	Potsdam		Filmgruppe "Berlin-Mitte" ; Produktionskollektiv Brandenburg/Havel	1994	16mm	219m	Spielfilm ; Kriminalfilm ; Jugendliche ; Frauen		DE-Po75. Po75
Niemand hatte es bemerkt	Xenia Möller	Kameraübung		Potsdam			1987	16mm	550m	Dokumentarfilm		DE-Po75
...im Reich des Eises	Katrin Pfeil	Regie	Kameraübung	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee ; Lichtbild Arbeitsgemeinschaft Griebnitzsee	1985	16mm	320m	Dokumentarfilm ; Dokumentarfilm ; Nationalsozialismus		DE-Po75
Staub auf den Schienen der Erinnerung	Ingeborg Ehlert	Regie	F2	Potsdam			[ca. 1998]	35mm	837m	Spielfilm		DE-Po75
Als man uns nicht fragte	Hoang Minh Tuan	Kamera	Hauptprüfungsfilm	Potsdam			1990	16mm	154m	Spielfilm		DE-Po75
<<Die>> Insel der vergessenen Wünsche	Gabi Schirmer	Regie		Potsdam			1995	16mm	150m			DE-Po75
„Man lebt nur einmal“ – Ein Motto aus Karl‑Marx‑Stadt	Bernd Yilmaz	Regie	Kameraübung	Potsdam		Filmgruppe Berlin-Mitte ; "AudioVisuelle Werkstatt" Frankfurt/Oder	1989	16mm	370m			DE-Po75
Ein kleiner Funke in der Dunkelheit	Jürgen-Peter Laux	Moderation	Lichtübung	Potsdam			1994	16mm	225m	Spielfilm ; Sportfilm		DE-Po75
Wenn du hättest bleiben wollen	Monika-Erika Hahn	Regie		Potsdam		Filmgruppe Berlin-Mitte ; Atelier für Dokumentarfilm Babelsberg	1988	16mm	182m	Spielfilm		DE-Po75
<<Die>> Kerze war nicht erlaubt	Benjamin Christ			Potsdam		Audiovisuelle Werkstatt Frankfurt Oder	1989	16mm	38m		Brandenburg . Interviews . Musikszene DDR	DE-Po75
Zwischen Halt und Flucht	Godelinde Jäkel	Regie	Lichtübung	Potsdam			1986	16mm	182m	Dokumentarfilm ; Familie ; Frauen		DE-Po75
Schatten über Dresden	Jost-Wolfgang Mai		Kameraübung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder	1992	35mm	146m	Dokumentarfilm		DE-Po75
Niemand sprach den Satz aus	Phan Quoc Viet	Regie	Lichtübung	Potsdam		Film gruppe Berlin-Mitte ; Audiovisuelle Werkstatt Frankfurt/Oder	1991	VHS			Oberlinhaus Potsdam . Schriftsteller der DDR . Mauerfall . Blinde . no dialogue	DE-Po75
Abschluss ohne Applaus	Simone Schwarz	Regie		Potsdam			1998	35mm	115m	Spielfilm		DE-Po75
<<Dem>> Morgen nach	Olga Mielke	Regie					1995/96	35mm	21m	Spielfilm		DE-Po75
<<Der>> Schal war nie beige	Horst Koch	Regie		Potsdam		Kollektiv Bild &Ton "Potsdam"	1997	35mm	4396m		nonverbal ; Schizophrenie ; Freizeit ; ohne Dialog ; no dialogue	DE-Po75
Ein Versuch in Klarheit	Gundula Jaschke	Kamera	Kameraübung	Potsdam			1989	35mm	79m	Dokumentarfilm		DE-Po75
<<Der>> letzte Smaragd	Amir Hadi	Regie		Potsdam			1991	S-VHS		Dokumentarfilm		DE-Po75
In der Tiefe des Alltags	Chen Wei	Kameraübung					1988	U-matic				DE-Po75
Die Kontrolle kam zu früh	Wolfgang Ehrhardt	Regie	F1	Potsdam		Kollektiv Bild und Ton Potsdam ; Lichtbild-Arbeitsgemeinschaft griebnitzsee	1995	Betacam SP				DE-Po75
Mein Lied im Chor	Doris Schenk	Regie	Übung	Potsdam			1993	16mm		Spielfilm ; Experimentalfilm	Mord	DE-Po75
Zwei Personen, keine Entscheidung	Sabine Schubert	Kamera	Diplomfilm	Potsdam			1988	16mm	56m			DE-Po75
Raumtemperatur konstant niedrig	Jenny Hahn			Potsdam			1991	Betacam SP		Spielfilm		DE-Po75
Ich schaute auf den Stundenplan		Regie	Regieübung	Potsdam			1986	35mm	130m			DE-Po75
Stimme aus der Kanne		Buch	Diplomfilm	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; lichtbild Arbeits gemeinschaft Griebnitzsee	1987	16mm		Dokumentarfilm	Arbeiter	DE-Po75
Der Klang des Unausgesprochenen		Regie		Potsdam			1992-93	35mm	37m	Spielfilm		DE-Po75
Versand wurde gestoppt	Ute Schulz	Regie		Potsdam		Atelier für Dokumentarfilm Babelsberg ; Filmstudio Babelsberg Ost	1999	Betacam SP		Spielfilm ; Wende ; Zeichentrickfilm ; Experimentalfilm ; Ausländer ; Spanien		DE-Po75
Unter dem Sattel der Erinnerung – Leipzig	Hung Pham			Potsdam			1998	35mm	985m	Dokumentarfilm		DE-Po75
Und trotzdem da blieben				Potsdam		Filmgruppe "Berlin-Mitte"	1989	16mm	337m	Spielfilm		DE-Po75
Das Fenster antwortete nicht	Volkmar-Xaver Weidner	Regie		Potsdam		Lichtbild Arbeitsgemeinschaft Griebnitzsee ; lichtbild Arbeits gemeinschaft Griebnitzsee	1999	35mm	220m	Spielfilm		DE-Po75
Die Suppe war ohne Salz	Jürgen Uhlig	Regie		Potsdam			1994	35mm	37m	Spielfilm ; Satire ; Animation		DE-Po75
Stellung		Regie		Potsdam			1990	16mm	350m	Dokumentarfilm ; Wende ; Interviewfilm		DE-Po75
Ein Licht zu viel	Christian Eberspächer			Potsdam			1987	16mm	218m			DE-Po75
Streiflicht	Tran Van Kiet	Regie	Lichtübung	Potsdam		Lichtbild-Arbeitsgemeinschaft griebnitzsee	1993	Betacam SP				DE-Po75
<<Das>> Labyrinth der Zeit	Elvira Grabow		Hauptprüfungsfilm	Potsdam			1985	16mm		Dokumentarfilm		DE-Po75
Wir gingen nebeneinander	Mirko Neumann	Regie		Potsdam		Film gruppe Berlin-Mitte	1988	16mm		Animationsfilm ; Adaption ; Jugendliche		DE-Po75
Risse im Blau	Jürgen Uhlig	Kamera	Hauptprüfungsfilm	Potsdam			1990	35mm	32m			DE-Po75
Kristallene Träume	Wolfgang Ehrhardt	Regie	Kameraübung	Potsdam		Audiovisuelle Werkstatt Frankfurt/Oder ; Atelier für Dokumentarfilm Babelsberg	1998	16mm	231m			DE-Po75
Nachricht auf Linie 3	Harald-Jürgen Händel	Regie					1993			Animationsfilm ; Kamera	Filmarchitektur	DE-Po75
Ein Herzschlag im Rhythmus der Stille	Lars Kaufmann	Regie	Diplomfilm	Potsdam			1996	Betacam SP				DE-Po75
Ich wusste, wer es war	Ingo Jahnke	Regie	Lichtübung	Potsdam			1996	35mm	25m	Werbefilm		DE-Po75
Kalkfleck akzeptiert	Yvonne-Zoe Weitz	Kamera		Potsdam			1991	35mm	44m	Dokumentarfilm		DE-Po75
