Titel	verantw._Pers.	verantw._Gewerk	Projektart	Ort	Verlag_1	Verlag_2	Jahr_1	Jahr_2	Jahr_Schätzung	Originalmedium	Länge	Schlagwort_1	Schlagwort_2	Schlagwort_3	Schlagwort_4	Schlagwort_5	Schlagwort_6	Stichwort_1	Stichwort_2	Stichwort_3	Stichwort_4	Stichwort_5	Stichwort_6	Stichwort_7	Stichwort_8	Stichwort_9	Stichwort_10	Stichwort_11
Zwei Geräusche, aber keine Richtung				Potsdam	Kollektiv Bild & Ton Potsdam		1987		false	16mm	92m	Dokumentarfilm	Liebe															
Als Müntzer schwieg	Yusuf Omar	Regie		Potsdam	Filmgruppe Berlin-Mitte		1988		false																			
Kristall der Ewigkeit, Der	Katharina Becker	Regie		Potsdam			1998		false	16mm	260m																	
Ich fand das Licht zu früh	Sabine-Marie Vogel	Regie	Kameraübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1992		false	S-VHS		Spielfilm																
Niemand sagte, dass es verboten war	Siegfried Abicht	Regie	Diplomfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1995		false	16mm		Spielfilm						Objektanimation	ohne Worte	ohne Sprache	ohne Dialog	no dialogue						
Während der Wind in Dornen singt	Nadja-Elke Quandt	Buch		Potsdam			1995	1996	false	Betacam SP		Dokumentarfilm	Arbeit															
Leerer Rand in deinem Heft	Kai Oehme	Regie	F1	Potsdam			1997		false	16mm	270m																	
Wenn das Gestern dem Heute weicht		Regie	Kameraübung	Potsdam	Kollektiv Bild & Ton Potsdam		1987		false	35mm	170m	Dokumentarfilm	Tanz															
Mein letzter Blick nach Osten	Oskar Obermann	Regie	Animationsübung	Potsdam			1997	1998	false	35mm	2000m	Dokumentarfilm	Zeichentrickfilm															
Ernte kam zu spät, Die	Clemens Eggert	Kamera	Kameraübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Kollektiv Bild & Ton Potsdam	1992		false	35mm	58m	Dokumentarfilm	Adaption															
Zwischen Ähren				Potsdam			1994		false	16mm	251m							HFF DDR	Mauer	Grabungsstätte	Archäologie	Potsdam						
Stühle standen zu nah, Die	Yvonne Zink	Gestaltung		Potsdam	Kollektiv Bild & Ton Potsdam	Kollektiv Bild & Ton Potsdam	1989	1990	false	16mm	882m																	
leiser Abschied im Rauschen der Zeit, Ein	Eva Nagy			Potsdam	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1989		false	16mm																		
Staub auf den Flügeln der Libellen	Torsten Förster	Animation		Potsdam			1999		false	35mm	279m	Dokumentarfilm																
Sturm der Träume	Dietmar Rupprecht	Regie		Potsdam			1998		false	16mm	886m																	
Es gab kein danach	Hung Pham	Regie		Potsdam			1993		false	Betacam SP		Spielfilm	Horror	Porträtfilm														
Worte fielen unter den Tisch, Die	Jörg Schneider	Regie		Potsdam			1990		false	Betacam SP																		
Zwischen Freude und Trauer – Dresden	Uta Vollrath	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1994		false	16mm	536m																	
Schule, die verschwieg, Die		Regie		Potsdam	Filmgruppe Berlin-Mitte	Filmstudio Babelsberg Ost	1992		false	U-matic																		
Abstand im Klang, Der	Liane Nolte			Potsdam			1999		false																			
Poesie des flüchtigen Jetzt, Die	Katarzyna Kaczmarek	Regie		Potsdam	Filmstudio Babelsberg Ost	Kollektiv Bild & Ton Potsdam	1993		false	Betacam SP		Spielfilm																
leisen Worte des Abschieds – Erfurt, Die	Wilfried Falkenberg	Regie	Lichtübung	Potsdam					false	35mm		Spielfilm																
Stunde ohne Strom, Die		Kamera	Hauptprüfungsfilm				1990		false	16mm	667m	Dokumentarfilm																
Asche und Licht	Sandy-Roswitha Binder	Regie	F1	Potsdam			1995		false	35mm	42m																	
Betreten verboten – außer für Reinigung	Ruth Schmidt		Diplomfilm	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1988		false	16mm	330m	Dokumentarfilm																
Flucht in die Dunkelheit – 1996 (Rostock)	Danny Weber	Buch		Potsdam			1988		false	16mm	80m							Betriebe in der DDR	Lausitz									
Hauch von Unendlichkeit, Ein	Renate Eichel	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1993		false	S-VHS		Dokumentarfilm	Ausländer															
An das Haus davor	Nadine Schürer	Regie		Potsdam			1995		false	35mm	249m	Animationsfilm																
Vorsicht bei Linie 7	Marco-Erich Kroll	Regie	Diplomfilm	Potsdam			1994		false	35mm	427m	Dokumentarfilm																
Ich verstand die Frage nicht	Layla El-Habib	Regie	Diplomfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1997		false	35mm	170m																	
Rhythmus der vergessenen Morsezeichen, Der	Fatima Ali	Regie		Potsdam	Filmgruppe Berlin-Mitte		1990		false	U-matic		Dokumentarfilm						Musikvideo	Mauerfall									
letzte Brief aus Zeitz, Der	Yusuf Hassan	Regie		Potsdam			1988		false			Dokumentation	Essayfilm					LPG										
Blick, der alles sagt – Berlin, Ein		Regie	F2	Potsdam			1997		false	16mm	480m	Dokumentarfilm																
Turm der schweigenden Glocken, Der	Bastian Böhmer	Kamera		Potsdam			1988	1989	false	16mm																		
Pförtner sah mich nicht an, Der				Potsdam			1996	1997	false	16mm	1969m	Spielfilm																
Lackierung ungleichmäßig				Potsdam			1998		false	35mm	714m	Behinderung	Satire															
Wenn alles innen war	Jürgen Uhlig	Regie		Potsdam	Filmgruppe Berlin-Mitte	Filmgruppe Berlin-Mitte	1990		false	U-matic		Spielfilm																
Jahr ohne Vokale, Ein				Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1989		false	16mm	351m	Talkshow						Komische Oper Berlin	7	Oktober 1989	Wende	40 Jahre DDR	Regionales					
Jenseits der Pfeiler	Jutta Illig	Regie		Potsdam			1999		false	35mm	18m	Dokumentarfilm																
Keine Rückfrage	Traute Hoffmann	Regie	Kameraübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Kollektiv Bild & Ton Potsdam	1991		false	16mm	125m																	
Licht kam von links, Das	Tariq Abbas	Regie	Lichtübung	Potsdam			1999		false	Betacam SP		Trailer	Spielfilm															
Ich saß falsch herum		Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1987		false	Betacam SP								HFF / DRA	Metropol-Theater Berlin									
Zwischen LPG und Lettern		Regie	Diplomfilm	Potsdam	Atelier für Dokumentarfilm Babelsberg		1994		false	35mm	171m																	
Stasi war auch ein Beruf	Istvan Papp	Regie		Potsdam			1997		false	35mm	195m	Dokumentarfilm						Flüchtlinge										
Brücke der Erinnerung, Die		Regie		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1990		false	VHS																		
Spind 23 – leer	Danny Weber	Kamera		Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1987		false	16mm	617m																	
Spur des Falken, Die	Norbert Lehmann			Potsdam			1994		false	Betacam SP		Dokumentarfilm	Märchenfilm	Science-Fiction-Film														
Wind kam aus Bitterfeld, Der		Kamera		Potsdam			1986		false	16mm	180m	Dokumentarfilm	Bildende Kunst															
Schritt passte nicht zur Richtung, Der	Olga Jürgens	Kameraübung		Potsdam			1987		false	16mm	680m																	
Satz blieb unvollständig, Der	Olga Grosse	Regie	Lichtübung	Potsdam			1997		false	35mm	397m	Spielfilm	Ehe															
Mein Name war nicht im System	Volkmar-Xaver Weidner	Regie		Potsdam			1996		false	16mm	125m																	
Stille auf Kanal 2	Jürgen Althoff	Regie		Potsdam			1989		false	35mm	570m	Animationsfilm	Adaption															
Schlüssel zum Himmelreich	Fatima Ali	Kameraübung		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1988		false	16mm	121m	Talkshow						Judenverfolgung										
Zwischen Kollektiv und Küche	Annelie Groll			Potsdam			1999		false	35mm	58m																	
Dein Lächeln war nicht sicher		Regie	Diplomfilm	Potsdam			1994	1995	false	35mm																		
Schatten im Nebel, Ein	Fatima Ali	Regie		Potsdam			1987		false	16mm																		
Schimmer nach, Dem	Oskar Rothe	Regie	Kameraübung	Potsdam			1989		false	16mm	60m																	
Wahrheit unter der Haut, Die	Traudel Risse	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1997		false	Betacam SP		Dokumentation	Kuba	Märchenfilm				Horrorfilm	ohne Worte	Weltkulturerbe	Maria Reiche	no dialgue						
Wand war nie Teil des Plans, Die	Yusef Khalid	Idee	Filmübung	Potsdam			1999		false	VHS		Animationsfilm	Frauen															
Batterien nicht enthalten			Lichtübung	Potsdam			1992		false	35mm	128m																	
Rausch	Sylke Ehrhardt	Kamera		Potsdam			1986		false	16mm	227m																	
Hinter Glas	Zdenek Wagner			Potsdam	Atelier für Dokumentarfilm Babelsberg		1995	1996	false	35mm	938m																	
Mein erstes Westgeschenk	Tariq Abbas	Regie	Lichtübung	Potsdam	Filmstudio Babelsberg Ost		1994		false	Betacam SP		Dokumentarfilm																
Bild an der Wand fehlte, Das		Regie		Potsdam			1990		false	16mm	156m	Hochschule für Film und Fernsehen der DDR "Konrad Wolf"																
Stille am Tag der Republik	Ida Wagner	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1992		true	16mm	89m	Dokumentarfilm	Bühneninszenierung															
Zwischen Grau und Farbe – Berlin	Xenia Schollmeyer		Lichtübung	Potsdam			1998		false			Spielfilm																
Ich verwechselte die Schuhe	Egon Franke	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1999		false	VHS		Dokumentarfilm																
Zeitkarte war verschwunden, Die		Regie	Lichtübung	Potsdam			1993		false	S-VHS		Adaption	Interviewfilm															
Werkstatt geschlossen ab Freitag	Nadja-Elke Quandt	Regie		Potsdam	Filmgruppe Berlin-Mitte	Produktionskollektiv Brandenburg/Havel	1985		false	35mm	90m	Dokumentarfilm	Adaption	Porträtfilm	Frauen			Pausenfilm	Tagebau	Plätze								
Eintrag zensiert		Regie	Kameraübung		Kollektiv Bild & Ton Potsdam		1988		false	16mm	39m																	
Regenschirm unauffindbar	Lorenz Fischer			Potsdam	Filmgruppe Berlin-Mitte		1998		false	35mm	21m	Dokumentarfilm																
Im Falz des Himmels	Anna-Bärbel Ahlers	Kamera		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1989		false																			
Fenster zum Horizont, Das	Siegbert Vollmer		F2	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1994		false	Betacam SP																		
Vorgang abgeschlossen	Sven Nolting	Kamera	Abschlußfilm	Potsdam			1989		false	16mm	386m																	
Melodie der Pausen, Die	Sven Nolting			Potsdam	Atelier für Dokumentarfilm Babelsberg		1992	1993	false	S-VHS																		
Reihenfolge beliebig	Roswita Schimmel	Kamera		Potsdam	Atelier für Dokumentarfilm Babelsberg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1999		false	Betacam SP		Dokumentarfilm																
Zwischen den Schichten der Erinnerung	Sabrina-Karola Schenke		F3	Potsdam			1996	1997	false	16mm	381m	Spielfilm																
Bewegung ohne Grund, Eine	Xenia Ihlenfeld	Regie		Potsdam			1997		false	16mm	172m	Spielfilm	Ausländer	Frauen	Musik			Psychische Erkankungen	Jugendkriminalität									
Klingel ging auf Zeit, Die		Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1988		false	U-matic		Dokumentarfilm	Landbevölkerung					Potsdam	ohne Worte	Punks DDR								
Mein erster Winter im Wohnheim 8	Joachim Finkbeiner	Regie		Potsdam			1998		false	16mm	35m	Spielfilm																
Traumpfade in der Altstadt – Weimar	Amir Al-Karim	Regie	Kameraübung	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1995		false	16mm	437m	Dokumentarfilm																
Silberne Träume	Uta Vollrath		Filmübung	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1994		false	16mm	72m	Spielfilm	Adaption															
Wende im Kalender markiert	Christian Eberspächer			Potsdam			1990		false	35mm	278m	Spielfilm																
Spaltfläche	Gisela Bauer			Potsdam			1986	1987	false	16mm	342m	Spielfilm																
Licht im Dunkeln, Ein	Petra-Renate Rupprecht	Regie		Potsdam			1988		false	16mm	40m							Musikclip	Oper									
Ruf der Freiheit – 2004 (Halle), Der	Volker Döhler			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Audiovisuelle Werkstatt Frankfurt/Oder	1993		false	16mm	257m	Essayfilm	Computeranimation															
Sprache der Stille – Weimar, Die				Potsdam			1994		false	16mm	114m	Spielfilm																
Wo das Jetzt den Traum küsst	Xenia Möller	Regie	Kameraübung	Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1989		false																			
Ich mochte dein Schriftbild	Katharina Becker	Regie	F3	Potsdam	Filmgruppe Berlin-Mitte	Produktionskollektiv Brandenburg/Havel	1994		false	16mm	219m	Spielfilm	Kriminalfilm	Jugendliche	Frauen													
Niemand hatte es bemerkt	Xenia Möller	Kameraübung		Potsdam			1987		false	16mm	550m	Dokumentarfilm																
...im Reich des Eises	Katrin Pfeil	Regie	Kameraübung	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1985		false	16mm	320m	Dokumentarfilm	Dokumentarfilm	Nationalsozialismus														
Staub auf den Schienen der Erinnerung	Ingeborg Ehlert	Regie	F2	Potsdam			1998		true	35mm	837m	Spielfilm																
Als man uns nicht fragte	Hoang Minh Tuan	Kamera	Hauptprüfungsfilm	Potsdam			1990		false	16mm	154m	Spielfilm																
Insel der vergessenen Wünsche, Die	Gabi Schirmer	Regie		Potsdam			1995		false	16mm	150m																	
„Man lebt nur einmal“ – Ein Motto aus Karl‑Marx‑Stadt	Bernd Yilmaz	Regie	Kameraübung	Potsdam	Filmgruppe Berlin-Mitte	Audiovisuelle Werkstatt Frankfurt/Oder	1989		false	16mm	370m																	
kleiner Funke in der Dunkelheit, Ein	Jürgen-Peter Laux	Moderation	Lichtübung	Potsdam			1994		false	16mm	225m	Spielfilm	Sportfilm															
Wenn du hättest bleiben wollen	Monika-Erika Hahn	Regie		Potsdam	Filmgruppe Berlin-Mitte	Atelier für Dokumentarfilm Babelsberg	1988		false	16mm	182m	Spielfilm																
Kerze war nicht erlaubt, Die	Benjamin Christ			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1989		false	16mm	38m							Brandenburg	Interviews	Musikszene DDR								
Zwischen Halt und Flucht	Godelinde Jäkel	Regie	Lichtübung	Potsdam			1986		false	16mm	182m	Dokumentarfilm	Familie	Frauen														
Schatten über Dresden	Jost-Wolfgang Mai		Kameraübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1992		false	35mm	146m	Dokumentarfilm																
Niemand sprach den Satz aus	Phan Quoc Viet	Regie	Lichtübung	Potsdam	Filmgruppe Berlin-Mitte	Audiovisuelle Werkstatt Frankfurt/Oder	1991		false	VHS								Oberlinhaus Potsdam	Schriftsteller der DDR	Mauerfall	Blinde	no dialogue						
Abschluss ohne Applaus	Simone Schwarz	Regie		Potsdam			1998		false	35mm	115m	Spielfilm																
Morgen nach, Dem	Olga Mielke	Regie					1995	1996	false	35mm	21m	Spielfilm																
Schal war nie beige, Der	Horst Koch	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1997		false	35mm	4396m							nonverbal	Schizophrenie	Freizeit	ohne Dialog	no dialogue						
Versuch in Klarheit, Ein	Gundula Jaschke	Kamera	Kameraübung	Potsdam			1989		false	35mm	79m	Dokumentarfilm																
letzte Smaragd, Der	Amir Hadi	Regie		Potsdam			1991		false	S-VHS		Dokumentarfilm																
In der Tiefe des Alltags	Chen Wei	Kameraübung					1988		false	U-matic																		
Kontrolle kam zu früh, Die	Wolfgang Ehrhardt	Regie	F1	Potsdam	Kollektiv Bild & Ton Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1995		false	Betacam SP																		
Mein Lied im Chor	Doris Schenk	Regie	Übung	Potsdam			1993		false	16mm		Spielfilm	Experimentalfilm					Mord										
Zwei Personen, keine Entscheidung	Sabine Schubert	Kamera	Diplomfilm	Potsdam			1988		false	16mm	56m																	
Raumtemperatur konstant niedrig	Jenny Hahn			Potsdam			1991		false	Betacam SP		Spielfilm																
Ich schaute auf den Stundenplan		Regie	Regieübung	Potsdam			1986		false	35mm	130m																	
Stimme aus der Kanne		Buch	Diplomfilm	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1987		false	16mm		Dokumentarfilm						Arbeiter										
Klang des Unausgesprochenen, Der		Regie		Potsdam			1992	1993	false	35mm	37m	Spielfilm																
Versand wurde gestoppt	Ute Schulz	Regie		Potsdam	Atelier für Dokumentarfilm Babelsberg	Filmstudio Babelsberg Ost	1999		false	Betacam SP		Spielfilm	Wende	Zeichentrickfilm	Experimentalfilm	Ausländer	Spanien											
Unter dem Sattel der Erinnerung – Leipzig	Hung Pham			Potsdam			1998		false	35mm	985m	Dokumentarfilm																
Und trotzdem da blieben				Potsdam	Filmgruppe Berlin-Mitte		1989		false	16mm	337m	Spielfilm																
Fenster antwortete nicht, Das	Volkmar-Xaver Weidner	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1999		false	35mm	220m	Spielfilm																
Suppe war ohne Salz, Die	Jürgen Uhlig	Regie		Potsdam			1994		false	35mm	37m	Spielfilm	Satire	Animation														
Stellung		Regie		Potsdam			1990		false	16mm	350m	Dokumentarfilm	Wende	Interviewfilm														
Licht zu viel, Ein	Christian Eberspächer			Potsdam			1987		false	16mm	218m																	
Streiflicht	Tran Van Kiet	Regie	Lichtübung	Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1993		false	Betacam SP																		
Labyrinth der Zeit, Das	Elvira Grabow		Hauptprüfungsfilm	Potsdam			1985		false	16mm		Dokumentarfilm																
Wir gingen nebeneinander	Mirko Neumann	Regie		Potsdam	Filmgruppe Berlin-Mitte		1988		false	16mm		Animationsfilm	Adaption	Jugendliche														
Risse im Blau	Jürgen Uhlig	Kamera	Hauptprüfungsfilm	Potsdam			1990		false	35mm	32m																	
Kristallene Träume	Wolfgang Ehrhardt	Regie	Kameraübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder	Atelier für Dokumentarfilm Babelsberg	1998		false	16mm	231m																	
Nachricht auf Linie 3	Harald-Jürgen Händel	Regie					1993		false			Animationsfilm	Kamera					Filmarchitektur										
Herzschlag im Rhythmus der Stille, Ein	Lars Kaufmann	Regie	Diplomfilm	Potsdam			1996		false	Betacam SP																		
Ich wusste, wer es war	Ingo Jahnke	Regie	Lichtübung	Potsdam			1996		false	35mm	25m	Werbefilm																
Kalkfleck akzeptiert	Yvonne-Zoe Weitz	Kamera		Potsdam			1991		false	35mm	44m	Dokumentarfilm																
Brücke nach Potsdam, Eine	Janosch Büchner	Regie	Diplomfilm	Potsdam			1988		false	16mm	37m																	
Ich schrieb meinen Namen auf ein Klebeband	Nancy-Jutta Henke			Potsdam			1991		false	16mm	125m	Spielfilm																
Materialprüfung angesetzt	Clemens Eggert	Kamera		Potsdam	Kollektiv Bild & Ton Potsdam	Atelier für Dokumentarfilm Babelsberg	1990		false	16mm	103.8m	Dokumentarfilm																
Funke im Nichts, Ein		Kamera		Potsdam			1989		false	16mm																		
Funke im Abgrund, Ein		Kameraübung		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1988		false	16mm	60m	Dokumentarfilm	Adaption															
Melancholie der leeren U-Bahn-Schächte, Die	Karin-Sabine Opitz	Regie		Potsdam	Kollektiv Bild & Ton Potsdam		1998		false	Betacam SP		Spielfilm	Adaption	Komödie														
Anklang in der Dunkelheit – Berlin		Regie		Potsdam			1988		false	16mm																		
Metaphysik der leeren Schulkantinen, Die	Katrin Karge	Regie	F1	Potsdam	Kollektiv Bild & Ton Potsdam	Atelier für Dokumentarfilm Babelsberg	1985		false	16mm	70m																	
fremder Schatten, Ein	Erika Ihlenfeld	Regie		Potsdam			1999		false			Spielfilm	Erotik	Pixilation														
Rückmeldung erwartet	Noura Khalaf			Potsdam			1993		false	Betacam SP		Dokumentarfilm																
Heftklammern ausgegangen	Ortrud Ebel	Regie		Potsdam			1995		false	Betacam SP								nonverbal										
Tafel nicht abgewischt	Rosemarie Raddatz			Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1996	1997	false	35mm	28m	Spielfilm																
fremden Wege, Die		Regie		Potsdam			1993		false	16mm	234m																	
Niemand wollte zum Appell	Tran Van Khanh	Kamera		Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1994		false	16mm	40m	Dokumentarfilm	Liebe															
Weg durch dich hindurch, Der	Anna Sokolova	Regie		Wolfsburg	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	Atelier für Dokumentarfilm Babelsberg	1987		false	16mm		Animationsfilm	Dokumentarfilm															
Plan erfüllt, aber keiner klatscht	Tariq Salem	Kamera		Potsdam			1987		false	35mm																		
Zwischen Wolken und Beton – Berlin		Regie	Diplomfilm	Potsdam			1996		false	35mm	164m																	
Stille der dritten Schicht, Die	Lars Nürnberg	Kamera		Potsdam	Atelier für Dokumentarfilm Babelsberg		1996		false	16mm	132m	Dokumentarfilm	Lehrfilm															
Weite	Fatima Ali	Regie		Potsdam			1989		false	U-matic																		
Fläche blieb vage, Die	Klaus-Lothar Kallenbach	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1989		false	VHS		Dokumentation																
Briefmarken für die Ewigkeit				Potsdam	Atelier für Dokumentarfilm Babelsberg	Atelier für Dokumentarfilm Babelsberg	1990		false	Betacam SP								Interviews	Simbabwe	politische Aufarbeitung	Potsdam							
Planfolge nicht einhalten	Kirsten Zabel		F3	Potsdam	Filmstudio Babelsberg Ost		1985		false	16mm	48m	Dokumentarfilm																
Wunsch auf Zeit, Ein	Ortrun Nolte		Diplomfilm	Potsdam			1998		false	Betacam SP		Spielfilm																
Letzter Eintrag: 5.10.89	Ottilie-Renate Pöschel	Regie		Potsdam			1998		false	Betacam SP																		
Stimme in deinem Rücken, Die	Inge-Maria Jänicke	Buch		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1987	1988	false	35mm	680m	Porträtfilm																
Wenn der Regen nicht aufhört	Xenia Schade			Potsdam			1996		false	16mm	134m	Dokumentarfilm						nonverbal	Anti AIDS Spot	ohne Worte								
Grenzweg ohne Schild	Olga Jürgens	Kamera	Kameraübung	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1988		false	35mm	82m																	
Wenn der Fluss der Zeit leise fließt	Steffen Scholl	Regie		Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1995		false	16mm	551m	Animationsfilm	Bühneninszenierung	Bildende Kunst	Biografie und Werk	Politischer Film	Kamera											
Kaffeekränzchen mit Geistern der Vergangenheit	Anneliese Mayer			Potsdam			1996	1997	false	35mm	42m																	
Störung auf Linie 4	Pham Linh	Regie		Potsdam			1987		false	16mm	360m																	
Zwischen den Jahren – 1988	Benjamin Christ	Regie		Potsdam			1985		false	16mm	261m																	
Balance		Kamera	F1	Potsdam	Audiovisuelle Werkstatt Frankfurt/Oder		1992		false	16mm	62m																	
Punkt, an dem ich dachte, Der	Alexei Kuznetsov			Potsdam	Filmgruppe Berlin-Mitte		1994		false	Betacam SP																		
Dort, wo die Seele tanzt	Marika Oertel	Regie	Diplomfilm	Potsdam	Filmgruppe Berlin-Mitte	Audiovisuelle Werkstatt Frankfurt/Oder	1987		false			Dokumentarfilm	Arbeit															
Zwischen gestern und nie		Regie		Potsdam	Filmgruppe Berlin-Mitte	Kollektiv Bild & Ton Potsdam	1998		false	Betacam SP																		
Prämie blieb aus, Die	Friedrich Risse	Regie		Berlin			1998		false	16mm	69m																	
verlorene Geige von Prag, Die	Amir Ziad	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1995		false	16mm		Animationsfilm																
Farben der Schritte, Die	Uschi Bongartz	Gestaltung		Potsdam			1989		false	16mm	30m							Reportageübung										
Mein erster Tag in Weimar – 1985	Lars Kaufmann	Regie		Potsdam			1993		false	35mm	81m	Dokumentarfilm	Kriminalität															
Chronik der gebrochenen Träume, Die	Hartmut Illner	Regie	Diplomfilm	Potsdam	Filmstudio Babelsberg Ost	Kollektiv Bild & Ton Potsdam	1996		false	VHS																		
Pause war zu lang, Die	Ingeburg Lütke		Lichtübung	Potsdam			1992	1993	false	16mm																		
An der Schwelle zum Nichts		Kamera		Potsdam			1993		false	VHS																		
Tisch steht schräg zur Zeit	Markus Meißner	Kamera	Hauptprüfungsfilm	Potsdam			1991		false	16mm																		
Als niemand aufstand	Rita Vollrath	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1992		false																			
Klang der alten U-Bahn – Karl‑Marx‑Stadt, Der	Katarzyna Kaczmarek	Buch	F2	Potsdam			1995		false	35mm	246m	Spielfilm						nonverbal	ohne Worte	ohne Sprache	ohne Dialog							
Paket kam nie an, Das	Gisela Bauer	Kameraübung		Potsdam			1987		false	16mm		Dokumentarfilm																
Abendrot hinter der Plattenwand	Tim-Walter Groß			Potsdam	Filmgruppe Berlin-Mitte	Audiovisuelle Werkstatt Frankfurt/Oder	1994		false	Digital Betacam		Dokumentarfilm																
Schnee auf dem Appellplatz	Gert Geisel	Regie		Potsdam			1997		false	16mm	220m	Animationsfilm	Homosexualität	Deutschland <vor 1945>	Zweiter Weltkrieg													
Am Fuß der Treppe		Regie	TV-Übung	Potsdam			1992		false	Betacam SP																		
Mahnwache bei Minus zehn, Die	Pham Linh	Regie		Potsdam			1986		false	16mm	865m																	
Tag im November, Ein	Klaus-Lothar Kallenbach			Potsdam	Filmgruppe Berlin-Mitte	Produktionskollektiv Brandenburg/Havel	1990		false	U-matic																		
Wenn Luft schwerer wird	Björn-Karl Urban		Filmübung	Potsdam			1995		false	16mm	76m	Dokumentarfilm	Kamera															
Mein Blick fiel auf den Rand	Tran Duc Huy	Regie	Filmübung	Potsdam	Filmgruppe Berlin-Mitte	Lichtbild-Arbeitsgemeinschaft Griebnitzsee	1998		false	Digital Betacam		Dokumentarfilm																
Kälte der Kontrolle, Die	Xenia Quade	Regie		Potsdam	Lichtbild-Arbeitsgemeinschaft Griebnitzsee		1986		false	16mm	416m	Deutscher Fernsehfunk																
Lautstärke angepasst	Frank Giesa			Potsdam	Filmgruppe Berlin-Mitte	Audiovisuelle Werkstatt Frankfurt/Oder	1995		false	35mm	17m	Spielfilm																
...und der Wind erzählt	Marlies Nitzsche	Regie	Zeitbeschreibung	Potsdam			1999		false	35mm	382m																	
Sekretariat geschlossen – aus Gründen	Friedlinde Unverzagt	Regie		Potsdam			1990		false	U-matic		Dokumentarfilm																
Blatt	Hannah Wagner			Potsdam			1993		false	16mm	439m	Animationsfilm	Musik															
Als ich nicht mehr fragte	Xenia Quade	Regie		Potsdam			1986		false	16mm	161m							DRA										
Vorrat aufgebraucht	Heike Bergmann	Regie	Montageübung	Potsdam	Atelier für Dokumentarfilm Babelsberg		1996		false	16mm	297m	Animationsfilm																
Flüstern im Wind – 2005 (Dresden), Ein	Elvira Grabow	Regie		Potsdam			1985		false	16mm	321m	Spielfilm						Skulpturen	Kampfsport	Montage								
Geste zu viel, Eine	Christian Eberspächer	Regie		Potsdam			1988	1989	false	16mm		Videoclip																
